Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,0.036713032683584,0.041538131962647,0.052390750008517,0.057359886832502,0.056630191627519,0.070743488460098,0.069792612976238,0.080623975564948,0.08548429470565,0.089491361877027,0.093463412945996,0.096670618084671,0.095760278331308,0.098523049182388,0.11314537871696,0.11878901232066,0.12851798868338,0.14345161515111,0.15762777768299,0.21286653356249,0.21998156730558,0.24653319485907,0.27167658292853,0.27322841012026,0.30873784161181,0.33840010525965,0.22926975212521,0.36843809474068,0.37750354873914,0.38251091791752,0.34784532941266,0.35076495839177,0.37613910629415,0.42644626373539,0.4407762881563,0.47787435874368,0.48731394689485,0.52237507790606,0.51482409365359,0.55019995366463,0.52833132720151,0.34034418493522,0.40518038264245,0.44005572642903,0.46946841423845,0.49099025018995,0.5145394641125,0.49614053482497,0.49553191926821,0.58899789568226,0.48215994136165,0.53120151173687,0.53360308772877,0.56149760455405
AFG,Afghanistan,15.437430263402,15.364077307818,13.316628180084,13.934875092746,15.177862417046,15.843058334403,15.943325145404,16.088215354622,15.640277500051,15.46548980462,15.367666317367,15.514753416869,15.515716215991,15.453445151705,14.383940166068,14.305600693119,12.60015361067,12.50366276238,12.754059635823,12.35546517101,12.561600484228,12.623401684685,11.64423377577,11.745771166476,11.768691479703,11.988491605362,13.224851795261,14.247797676445,15.074257762787,16.048159660291,13.915671900218,12.206455858042,14.756987868265,15.337134340877,15.297464860503,15.571383871757,15.765436555437,16.857046318059,20.117096523349,23.063248859675,26.937007098602,31.016654338138,28.893186443822,27.254396454638,27.420132302035,27.408331771842,26.633998536151,27.691927104192,27.553281612451,26.982776571875,26.646320070058,27.643074354633,28.614071224157,29.460052109846
AGO,Angola,18.998762966929,18.866057085217,21.459002494799,23.018940660181,23.685423333066,22.51960846601,18.586243404243,23.251028515391,25.396610153181,25.913889962614,26.374012559598,24.95766170314,25.202450370923,26.91283610759,27.747141628723,29.399463334753,30.800155149771,32.666695882671,34.914473946802,35.281767796092,31.940036900014,31.674201985939,30.57786316592,34.502258845546,45.448258127029,52.602242896144,63.372367618754,66.063073039191,71.185160940131,71.871367251026,67.023248894954,64.839702215038,63.006025431394,63.185307510185,68.38393565898,66.448483857098,59.238378610703,57.600526612986,61.08073920092,62.579952725056,69.600979654771,68.528086602865,70.616405592873,75.203688932853,77.295699295078,81.775030634849,78.875889481536,73.424409437128,69.504638319837,69.910831903615,61.680081008369,64.408994316501,67.210841707451,67.700756247715
AIA,Anguilla,0.0033550516525482,0.0033959561465696,0.003533698749159,0.0034113767662438,0.0036942432949648,0.0039679587872217,0.0038328920879633,0.0039601197693351,0.0043531129856206,0.0046831054093206,0.0059320699118143,0.008218907315769,0.0086607924389949,0.0076836164052552,0.0073698344843457,0.0051510046306033,0.0046625025475638,0.0077670266933319,0.0074874810519255,0.0078926792261969,0.0079026134243605,0.0094627488859114,0.0098381319384206,0.011973574477197,0.015287721276852,0.018731374419127,0.018584454459997,0.015878441704249,0.014746924711584,0.014066640774222,0.017882250654363,0.01841347858031,0.013254067449008,0.016636245258229,0.016045688730331,0.016298061771613,0.015473767084968,0.015013360133652,0.018271978935289,0.023114703891991,0.027111487610256,0.029192190036524,0.029236274197184,0.031229373116397,0.031209940993859,0.031334184085369,0.031728471512973,0.032475515597128,0.031594223844134,0.030947736339053,0.026037061545308,0.025224274136699,0.025068397633334,0.026210752219878
AIR,International Aviation,172.47802101263,172.46545192062,182.45981854833,190.29690984834,183.16210353305,177.16583589009,177.48307693002,193.59336574958,200.75019874556,207.53394293763,206.39358350285,205.57533726332,213.05578700079,214.94740354691,222.98478384692,229.08376480265,251.59985551799,265.98131620798,281.00744795789,295.1234006404,264.25668333663,257.14624668392,265.70795894567,270.90590417706,284.82417751161,295.65683506583,307.74131860451,322.57562762885,333.35925361941,347.53024697062,360.05543980644,353.83952867133,374.4240156023,372.30563914633,408.45442277089,434.7378151872,450.2413269066,465.39216831822,472.60009776282,449.69501761465,472.87129352478,486.51127583861,490.11746702895,498.81237495084,514.26397609489,543.35425456569,567.63128664817,597.77158013675,624.13561232119,633.46450186536,302.6323367401,335.72872927984,416.95342184754,498.17811441525
ALB,Albania,8.2248501911496,8.1708854693872,9.1047994396663,8.5854338838335,8.8542803351251,9.0333837378158,9.6441838992908,10.200864300548,11.223265605429,12.380911361883,12.580193812216,11.601495789568,12.24450510389,13.095344902964,13.409262692386,12.972169146131,13.196752338643,13.484179475207,13.379579988994,13.292167752664,11.493145703358,9.0360462009884,6.1521773201683,6.1897804980399,6.8871653772111,6.5294762593805,6.2626357997717,5.509979497049,5.7699087529158,6.9799697880222,7.179735322097,7.3673601879961,7.9894324848072,8.1783569411831,8.3871306275943,7.9773993901961,8.0227104660677,7.9770188740034,7.7615279817354,7.7406223327507,8.0482273237888,8.4791602303467,8.1593985818724,8.4245109632469,8.8997460109644,8.7399349659598,8.356521759353,9.1640589250132,9.1528434055939,8.6185929178098,7.9673563936073,8.395251312784,7.8120217685801,7.6736715330197
ANT,Curaçao,15.07447610902,15.07523198522,14.651374606177,16.202210841682,14.668232102648,10.581694676426,11.255922375813,11.392152752668,9.6791983525906,9.5745287191257,9.0836628268653,8.4192357432775,7.6421813542784,7.1762461284413,7.000451181276,4.6853951682561,4.4735449619797,4.1528864679623,3.6450409918947,3.1327985880945,2.8433310183393,2.9459766431293,3.0799086029126,2.5570107059137,2.8653672531911,2.8721921076528,2.9022795664986,5.5233805142981,5.7127118913007,5.6636521766354,5.8860976449945,5.8851448627247,5.6252530027425,5.6362057340531,5.8550279830948,6.1379425694358,5.9960025480678,6.4833541155412,6.4267994694193,6.0841018402647,4.440203375646,5.7136767428191,5.8003393352666,5.332440820709,5.8714083317903,5.9369754666475,5.1617520282889,4.1613125845712,3.3692376555393,2.610403760429,2.1442128482507,2.3344196423725,2.4196201026511,2.5321443120251
ARE,United Arab Emirates,29.766021549796,35.811260062014,39.474216334791,50.679017127457,52.20357267015,53.071279374455,64.335717570213,65.381045474194,70.899896910597,56.372531473941,58.804460096816,53.913581277605,51.908770246662,49.786157316117,62.998559236452,65.137226202275,65.130365573304,68.72189091488,68.135341685693,77.124162820164,79.495394667403,87.879960366987,87.414841971998,94.048143299135,98.937379502832,103.98290902745,109.0839156521,110.87144695181,111.94159365214,114.69561259498,117.23589489711,129.75373821421,131.32517537817,139.42197628238,146.06416213358,155.53374331207,162.34187373325,172.85492637206,200.41291263293,201.51951556587,209.71296646304,217.40519578915,226.7423357466,238.4611382675,241.85367441553,253.9894885396,261.99330825107,254.11708690041,238.5633746875,251.59058404124,249.32373435045,256.96488078086,267.63292900207,267.82319378586
ARG,Argentina,219.51877748766,222.84841667012,229.86968036876,237.77645038756,238.10581649055,238.64481680445,247.08660312261,257.64570117971,250.36098062618,256.24157332591,251.62397771924,245.83604360592,242.54469610174,248.6487782509,249.88758837903,241.52786849397,247.34169878696,251.47724649862,259.99594923996,259.16762485482,253.79643611579,257.66540307837,259.6959965237,261.60670920769,267.22070061342,269.88350188473,277.07001800499,281.8610909996,285.60235206078,291.66030556734,288.25999530018,284.19613499334,283.48812576578,305.06248995609,323.87185693705,327.13376389168,340.48826144779,349.42485423166,350.89031358718,327.62790801098,331.46769126297,337.85680634913,344.93328922249,353.38543899272,352.58277185293,358.49363302412,361.23494291235,364.47374772778,363.81899445987,360.92623327944,347.31237251597,367.61397944532,374.76126393142,365.68461861929
ARM,Armenia,12.672103194979,12.83372299532,13.639100063819,14.668407033353,15.687820399797,16.942746666956,17.379323786933,17.977310959206,18.671332281105,19.323151230114,20.441539747445,20.878500994222,21.461798172263,21.52801327415,21.573568936254,21.632793750991,21.86567180128,22.118896442471,22.049337711355,21.658340550321,24.312443763356,24.929351270568,14.013673699447,7.7202870410774,5.3405349287746,6.0246124915166,5.0675672959325,5.7694645422408,5.8008673797737,5.4264807209115,5.9423829049983,6.0835043412157,5.6386351675275,6.0896218528828,6.5731937854615,7.3211037747363,7.2928068869189,8.0710329952674,8.5466369819917,7.2574907117796,7.0042984677759,7.6317388932082,8.5021377168396,8.5398540483765,8.8962066087355,8.8239003401058,8.6554742507895,8.8681044907098,8.995145480717,9.4714566473566,9.9936369837021,10.671376412756,10.36453821957,10.836336950669
